対象年月日,対象エリア,電圧,送電線名,潮流方向(正方向),00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
2022/06/02,東京,500,印旛線,新佐原 → 新京葉,1700,1630,1560,1500,1520,1570,1570,1530,1540,1540,1500,1480,1480,1580,1600,1760,1840,1940,2020,2160,2220,2250,2280,2310,2300,2280,2380,2480,2590,2640,2580,2550,2730,2800,2820,2820,2800,2770,2760,2640,2640,2590,2470,2360,2210,2180,2110,2040
2022/06/02,東京,500,新いわき線,新いわき → 新今市,430,280,260,290,270,250,250,250,220,220,260,330,360,420,510,580,670,650,700,670,660,650,650,630,590,580,540,520,580,500,550,470,450,400,370,420,390,370,290,330,360,400,420,390,440,400,400,380
2022/06/02,東京,500,新岡部線,新岡部 → 新秩父,580,200,220,40,20,-20,10,40,130,330,400,700,740,880,1240,1320,1280,1210,1300,1160,1130,1230,1130,1100,1100,1050,910,810,830,680,680,540,370,-200,-440,-580,-610,-680,-750,-580,-400,-150,-160,-100,90,-140,20,200
2022/06/02,東京,500,新京葉線,新京葉 → 新古河,3300,3170,3040,2670,2640,2710,2830,2940,3000,3160,2840,2720,2010,1940,1510,1360,1300,1250,1080,1130,1130,1200,1180,1170,1100,770,1140,1540,1700,2040,2230,2810,3210,3130,3300,3270,3330,3340,3320,3330,3240,3330,3360,3290,3480,3370,3300,3500
2022/06/02,東京,500,新古河線,新古河 → 新所沢,3300,3070,2900,2640,2570,2560,2720,2760,2800,2920,2810,2940,2540,2540,2700,2720,2840,2720,2580,2670,2620,2680,2640,2660,2630,2280,2370,2560,2750,2780,2940,3130,3240,2790,2720,2580,2490,2540,2440,2610,2640,2880,2860,2890,3170,2940,3080,3260
2022/06/02,東京,500,新吾妻線,新榛名 → 西群馬,70,220,220,300,300,320,280,260,270,290,270,160,150,120,-120,40,200,470,140,120,130,120,150,150,160,220,230,240,220,280,250,250,220,400,400,460,480,540,730,700,700,430,370,380,240,240,210,170
2022/06/02,東京,500,新佐原線,新佐原 → 新筑波,2580,2540,2420,2140,2120,2200,2300,2360,2410,2500,2280,2160,1680,1680,1360,1300,1260,1240,1120,1220,1260,1320,1300,1340,1300,1060,1380,1700,1840,2080,2180,2570,2940,2930,3050,3020,3060,3020,3040,2980,2940,2990,2960,2900,2970,2890,2850,2960
2022/06/02,東京,500,新坂戸線,新新田 → 新坂戸,560,600,540,680,660,640,580,560,530,580,660,700,880,1000,1230,1380,1580,1780,2000,2020,2040,2020,2100,2120,2140,2240,2110,2020,2020,1880,1800,1500,1400,1420,1360,1360,1380,1440,1500,1440,1340,1220,1120,1060,860,850,760,660
2022/06/02,東京,500,新所沢線,新所沢 → 新多摩,1300,1220,1180,1120,1080,1040,1120,1130,1120,1300,1260,1380,1180,1220,1540,1640,1850,1820,1770,1780,1700,1740,1680,1690,1670,1450,1380,1320,1410,1260,1260,1100,1070,480,400,290,200,300,180,400,420,640,640,700,920,720,930,1100
2022/06/02,東京,500,新新田線,新新田 → 新岡部,1510,1150,1150,960,920,920,1010,1010,1190,1340,1370,1530,1430,1330,1460,1300,1150,1000,1020,850,800,880,760,720,700,620,640,670,850,880,1110,1240,1280,910,840,760,680,630,570,690,820,1030,960,990,1210,920,1050,1210
2022/06/02,東京,500,新榛名線,新榛名 → 新秩父,200,110,110,90,80,70,60,70,150,250,270,320,340,350,340,200,30,90,300,200,180,210,170,150,170,210,200,180,190,200,230,240,260,200,190,190,230,150,290,240,240,210,160,160,150,20,50,90
2022/06/02,東京,500,新秦野線,新秦野 → 新富士,570,540,510,480,510,540,540,480,480,460,420,400,300,240,160,200,640,520,-60,-40,-20,20,-20,0,-20,-80,-80,100,100,210,240,340,360,480,500,550,510,550,360,530,440,470,420,670,630,690,720,700
2022/06/02,東京,500,新赤城線,東群馬 → 新新田,640,520,500,580,560,540,500,500,640,820,880,900,980,980,980,820,680,800,1040,860,840,820,820,780,840,1000,1000,980,1040,1050,1140,1080,1130,1200,1240,1340,1390,1300,1460,1350,1300,1160,1080,1020,840,640,600,560
