送電線No,name,direction,from,to,電圧(kV),回線数,設備容量(MW),運用容量(MW)
基幹 275kV 011,那珂線,,,,275,2,6530,3620
基幹 275kV 012,阿武隈線,,,,275,2,,
基幹 275kV 013,十王線,,,,275,2,2276,1291
基幹 275kV 014,東海原子力線,,,,275,2,,
基幹 275kV 015,常陸那珂火力線,,,,275,2,,
基幹 275kV 022,沼原線,,,,275,2,,
基幹 275kV 026,君津線,,,,275,2,3066,1729
基幹 275kV 027,姉崎線1・2L,,,,275,2,,
基幹 275kV 028,姉崎線3・4L,,,,275,2,,
基幹 275kV 029,五井火力線,,,,275,2,,
基幹 275kV 030,千葉火力線1・2L,,,,275,2,,
基幹 275kV 031,千葉火力線3・4L,,,,275,2,,
基幹 275kV 032,ＪＦＥ千葉線,,,,275,2,,
基幹 275kV 033,千葉中央線,,,,275,2,5430,2715
基幹 275kV 034,北総線,,,,275,2,3620,1810
基幹 275kV 035,花見川線,,,,275,2,1810,905
基幹 275kV 036,北千葉線（房総～花見川）,,,,275,2,5632,3254
基幹 275kV 039,香取線,,,,275,2,5470,3068
基幹 275kV 040,住友金属線,,,,275,2,,
基幹 275kV 043,鹿島火力線3L,,,,275,1,,
基幹 275kV 044,鹿島火力線4L,,,,275,1,,
基幹 275kV 045,鹿島線,,,,275,2,3066,1729
基幹 275kV 049,東京東線,,,,275,2,1322,743
基幹 275kV 050,東京北線,,,,275,2,1322,743
基幹 275kV 051,北葛飾線,,,,275,2,6530,3619
基幹 275kV 053,河北線1・2L,,,,275,2,3066,1729
基幹 275kV 054,河北線3・4L,,,,275,2,3066,1729
基幹 275kV 055,中東京幹線,,,,275,2,,
基幹 275kV 056,田子倉線,,,,275,2,,
基幹 275kV 057,奥只見線,,,,275,2,,
基幹 275kV 061,東毛線,,,,275,2,1810,905
基幹 275kV 064,北熊谷線,,,,275,2,6958,3619
基幹 275kV 065,児玉線,,,,275,2,1532,864
基幹 275kV 066,玉原線,,,,275,2,,
基幹 275kV 076,高瀬川線,,,,275,2,,
基幹 275kV 077,梓川線,,,,275,1,,
基幹 275kV 078,水殿線,,,,275,1,,
基幹 275kV 082,佐久間東幹線,,,,275,2,,
基幹 275kV 083,佐久間東幹線,,,,275,2,1020,590
基幹 275kV 088,青梅線,,,,275,2,5430,2715
基幹 275kV 089,青梅線,,,,275,2,1810,905
基幹 275kV 090,豊岡線,,,,275,2,3620,1810
基幹 275kV 091,東京西線,,,,275,2,5470,3067
基幹 275kV 092,港北線（港北～荏田）,,,,275,2,3066,1729
基幹 275kV 093,横浜港北線,,,,275,4,,
基幹 275kV 094,西北線,,,,275,2,3066,1729
基幹 275kV 095,東新宿線,,,,275,2,632,632
基幹 275kV 096,新宿線,,,,275,3,876,876
基幹 275kV 097,新宿城南線,,,,275,3,831,831
基幹 275kV 098,西南多摩線,,,,275,2,1320,751
基幹 275kV 099,佐久間東幹線,,,,275,2,1020,590
基幹 275kV 100,秦浜線,,,,275,2,3620,1810
基幹 275kV 101,東京南線1・2L,,,,275,2,1322,743
基幹 275kV 102,東京南線3・4L,,,,275,2,3066,1729
基幹 275kV 103,京浜線1・2L,,,,275,2,1322,743
基幹 275kV 104,京浜線3・4L,,,,275,2,1332,743
基幹 275kV 105,南川崎線,,,,275,3,1810,1810
基幹 275kV 106,東扇島火力線,,,,275,2,,
基幹 275kV 107,南池上線,,,,275,3,1284,1216
基幹 275kV 108,中沢線1・2L,,,,275,2,1322,743
基幹 275kV 109,中沢線3・4L,,,,275,2,1322,743
基幹 275kV 110,南狭山線,,,,275,2,6136,3511
基幹 275kV 111,新座線,,,,275,2,5470,3068
基幹 275kV 112,北武蔵野線,,,,275,2,684,684
基幹 275kV 114,水道橋線,,,,275,3,873,873
基幹 275kV 115,東新宿水道橋線,,,,275,2,342,342
基幹 275kV 116,坂戸川越線,,,,275,2,7240,3620
基幹 275kV 117,西南川越線,,,,275,2,1320,751
基幹 275kV 118,西南川越線,,,,275,2,1320,751
基幹 275kV 120,東京中線,,,,275,2,1322,743
基幹 275kV 121,上尾線,,,,275,2,3620,1810
基幹 275kV 122,北与野線,,,,275,2,504,363
基幹 275kV 123,西越谷線,,,,275,2,1810,905
基幹 275kV 124,春日部線,,,,275,2,3066,1729
基幹 275kV 125,豊島線,,,,275,3,924,924
基幹 275kV 126,東内幸町線,,,,275,3,948,948
基幹 275kV 127,高輪線,,,,275,3,1289,1289
基幹 275kV 128,池上線,,,,275,3,,
