送電線No,送電線名,occto:name,occto:direction,inkscape:label,pfmap:name,pfmap:from,pfmap:to,電圧(kV),回線数,設備容量(100%×回線数)(MW),運用容量値(MW),運用容量制約要因,空容量(当該設備)(MW),空容量(上位系等考慮)(MW),N-1電制適用可否,N-1電制適用可能量(MW),平常時出力制御の可能性,平常時出力制御が必要となりうる設備(当該設備),平常時出力制御が必要となりうる設備(上位系設備),備考,OCCTO公開
基幹 275kV 011,那珂線,,,,,,,275,2,6530,3620,熱容量,0,0,可,0,有り,対象,変2,※４，フェンス管理　上位系（変2）による制約,1
基幹 275kV 012,阿武隈線,,,,,,,275,2,-,-,-,1200,0,-,-,有り,-,変2，送11,◇　抑制が必要となる設備には変4含む　上位系（送11）による制約,
基幹 275kV 013,十王線,,,,,,,275,2,2276,1291,熱容量,1000,0,可,985,有り,-,変2，送11,※４　抑制が必要となる設備には変4含む　上位系（送11）による制約,
基幹 275kV 014,東海原子力線,,,,,,,275,2,-,-,-,200,0,-,-,有り,-,変2，送11,◇　抑制が必要となる設備には変4含む　上位系（送11）による制約,
基幹 275kV 015,常陸那珂火力線,,,,,,,275,2,-,-,-,1600,0,-,-,有り,-,変2，送11,◇　抑制が必要となる設備には変4含む　上位系（送11）による制約,
基幹 275kV 022,沼原線,,,,,,,275,2,-,-,-,300,0,-,-,有り,-,変3,◇　2023/1新栃木募プロ対策工事完了後に連系可能　上位系（変3）による制約,
基幹 275kV 026,君津線,,,,,,,275,2,3066,1729,熱容量,0,0,不可 ♯１,-,有り,対象,送47,※４　抑制が必要となる設備には送46含む　上位系（送47）による制約,1
基幹 275kV 027,姉崎線1・2L,,,,,,,275,2,-,-,-,0,0,-,-,有り,対象,送47,◇　抑制が必要となる設備には送46含む　上位系（送47）による制約,
基幹 275kV 028,姉崎線3・4L,,,,,,,275,2,-,-,-,500,0,-,-,有り,-,送47,◇　抑制が必要となる設備には送46含む　上位系（送47）による制約,
基幹 275kV 029,五井火力線,,,,,,,275,2,-,-,-,0,0,-,-,有り,対象,送47，送37,◇　抑制が必要となる設備には送46含む　上位系（送37）による制約,
基幹 275kV 030,千葉火力線1・2L,,,,,,,275,2,-,-,-,0,0,-,-,有り,-,送47，送36，送33,◇　抑制が必要となる設備には送46含む　上位系（送33）による制約,
基幹 275kV 031,千葉火力線3・4L,,,,,,,275,2,-,-,-,700,0,-,-,有り,-,送47，送136,◇　抑制が必要となる設備には送46含む　上位系（送136）による制約,
基幹 275kV 032,ＪＦＥ千葉線,,,,,,,275,2,-,-,-,0,0,-,-,有り,-,送47，送36，送33,◇　抑制が必要となる設備には送46含む　上位系（送33）による制約,
基幹 275kV 033,千葉中央線,,,,,,,275,2,5430,2715,熱容量,0,0,可,0,有り,対象,送47，送36,※４　抑制が必要となる設備には送46含む　上位系（送36）による制約,
基幹 275kV 034,北総線,,,,,,,275,2,3620,1810,熱容量,1810,0,可,1400,有り,-,送47，送36,※４　抑制が必要となる設備には送46含む　上位系（送36）による制約,
基幹 275kV 035,花見川線,,,,,,,275,2,1810,905,熱容量,900,0,可,905,有り,-,送47，送143,※４　抑制が必要となる設備には送46含む　上位系（送143）による制約,
基幹 275kV 036,北千葉線（房総～花見川）,,,,,,,275,2,5632,3254,熱容量,0,0,可,0,有り,対象,送47,※４　抑制が必要となる設備には送46含む　上位系（送47）による制約,1
基幹 275kV 039,香取線,,,,,,,275,2,5470,3068,熱容量,0,0,可,0,有り,対象,送46,※４　抑制が必要となる設備には送47含む　上位系（送46）による制約,1
基幹 275kV 040,住友金属線,,,,,,,275,2,-,-,-,0,0,-,-,有り,対象,送50，送45,◇　上位系（送45）による制約,
基幹 275kV 043,鹿島火力線3L,,,,,,,275,1,-,-,-,400,0,-,-,有り,-,送50，送45,◇　上位系（送45）による制約,
基幹 275kV 044,鹿島火力線4L,,,,,,,275,1,-,-,-,10,0,-,-,有り,-,送50，送45,◇　上位系（送45）による制約,
基幹 275kV 045,鹿島線,,,,,,,275,2,3066,1729,熱容量,0,0,不可 ♯３,-,有り,対象,送50,※４　安定度限界により2回線合計2900MW以下の制約有　上位系（送50）による制約,1
基幹 275kV 049,東京東線,,,,,,,275,2,1322,743,熱容量,743,0,可,579,有り,-,送47,※４　抑制が必要となる設備には送46含む　上位系（送47）による制約,1
基幹 275kV 050,東京北線,,,,,,,275,2,1322,743,熱容量,0,0,可,0,有り,対象,-,※４　上位系（送52）による制約,1
